outcome,term,estimate,std_error,statistic,p_value,ci_95_lo,ci_95_hi,model_type
confidence,Intercept,5.841250000000004,0.17301583513362584,33.761360603141405,0.0,5.502145194382978,6.18035480561703,LMM main effects (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_alone]",0.15500000000000544,0.21774677134388262,0.7118360425892029,0.4765663108332485,-0.2717758295838828,0.5817758295838937,LMM main effects (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_plain_alone]",-1.6699999999999946,0.21774677134388262,-7.669459297573698,1.7319479184152442e-14,-2.096775829583883,-1.2432241704161062,LMM main effects (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_vague_alone]",-1.514999999999994,0.21774677134388262,-6.957623254984517,3.460565167756613e-12,-1.9417758295838823,-1.0882241704161055,LMM main effects (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.credibility_alone]",0.3550000000000048,0.21774677134388262,1.6303341620591068,0.10303089117402608,-0.07177582958388345,0.781775829583893,LMM main effects (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_majority]",-1.429999999999995,0.21774677134388262,-6.567261554209812,5.124900503972185e-11,-1.8567758295838832,-1.003224170416107,LMM main effects (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_vs_credibility]",-1.9749999999999954,0.21774677134388262,-9.070168929765309,0.0,-2.4017758295838836,-1.5482241704161073,LMM main effects (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_credibility]",-1.2599999999999958,0.21774677134388262,-5.786538152660394,7.185177341995086e-09,-1.6867758295838842,-0.8332241704161075,LMM main effects (random intercept: question)
confidence,qwen,4.5374999999999845,0.10887338567194128,41.676852170946894,0.0,4.32411208520804,4.750887914791929,LMM main effects (random intercept: question)
confidence,question_id random intercept variance,0.32642974647256684,,,,,,LMM main effects (random intercept: question)
accuracy,Intercept,0.8031250000000001,0.018850540141903675,42.604879963874296,0.0,0.7661786202327423,0.8400713797672579,LMM main effects (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_alone]",0.14000000000000123,0.02361690184076325,5.927957906754662,3.0672508977147572e-09,0.09371172296568755,0.18628827703431491,LMM main effects (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_plain_alone]",0.010000000000001195,0.023616901840763253,0.42342556476823695,0.6719847960299086,-0.03628827703431249,0.05628827703431488,LMM main effects (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_vague_alone]",0.0800000000000013,0.023616901840763253,3.387404518145546,0.0007055727177556204,0.03371172296568762,0.126288277034315,LMM main effects (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.credibility_alone]",0.13000000000000123,0.023616901840763253,5.504532341986474,3.7014950882152675e-08,0.08371172296568755,0.1762882770343149,LMM main effects (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_majority]",0.14500000000000132,0.023616901840763253,6.139670689138758,8.269271933869504e-10,0.09871172296568764,0.191288277034315,LMM main effects (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_vs_credibility]",0.08500000000000134,0.023616901840763253,3.5991173005296404,0.00031929914937989246,0.03871172296568765,0.13128827703431503,LMM main effects (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_credibility]",0.05500000000000115,0.023616901840763253,2.3288406062250737,0.019867511351717493,0.008711722965687466,0.10128827703431484,LMM main effects (random intercept: question)
accuracy,qwen,0.09374999999999951,0.011808450920381557,7.939229339403499,1.9984014443252818e-15,0.07060586148284281,0.11689413851715622,LMM main effects (random intercept: question)
accuracy,question_id random intercept variance,0.004160395907863243,,,,,,LMM main effects (random intercept: question)
belief_flip,Intercept,-0.810674833938429,0.21809784290444997,-3.717023621795245,0.0002015836021889095,-1.2381387511370254,-0.3832109167398325,GEE main effects (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_alone]",-0.2577677675215765,0.2447731743511432,-1.05308830595869,0.2923005219054631,-0.7375143736313605,0.2219788385882075,GEE main effects (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.majority_vague_alone]",0.15571871811807045,0.20491021429593798,0.7599363392064801,0.44729263870475566,-0.2458979219663525,0.5573353582024934,GEE main effects (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.credibility_alone]",-0.0822454774656772,0.2507212946057082,-0.32803546900561,0.7428848447103619,-0.5736501850501218,0.4091592301187674,GEE main effects (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_vs_majority]",-0.21233569732044663,0.24631919456651813,-0.8620347175709269,0.38866841345280456,-0.6951124473717364,0.27044105273084307,GEE main effects (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.majority_vs_credibility]",0.19307966625643522,0.19374386853734318,0.996571750704049,0.31897242364537803,-0.18665133830222033,0.5728106708150907,GEE main effects (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_vs_credibility]",-0.30437062915851576,0.22586246489678588,-1.3475927896988389,0.1777893909284345,-0.7470529258156583,0.13831166749862678,GEE main effects (exchangeable by question)
belief_flip,qwen,-2.423211765626782,0.3778785026671223,-6.412674308073615,1.4298878682570702e-10,-3.1638400213862647,-1.6825835098672997,GEE main effects (exchangeable by question)
